"Time (s)","Acceleration (m/s²)"
8.393936003E1,-2.001762390E-3
8.397778024E1,-2.531147003E-2
8.401620034E1,1.212310791E-2
8.405462055E1,5.040454865E-2
8.409304066E1,-5.121994019E-2
8.413146087E1,-4.333209991E-2
8.416988097E1,1.092815399E-2
8.420830118E1,5.486583710E-2
8.424672128E1,1.212978363E-2
8.428514149E1,-2.887630463E-2
8.432356159E1,-3.700256348E-2
8.436198180E1,4.922199249E-2
8.440040191E1,1.287460327E-3
8.443882201E1,-4.235172272E-2
8.447724212E1,-3.505992889E-2
8.451566232E1,9.458160400E-2
8.455408243E1,4.696178436E-2
8.459250253E1,-1.046676636E-1
8.463092264E1,-4.406833649E-2
8.466934274E1,6.048488617E-2
8.470776284E1,1.178665161E-1
8.474618295E1,-9.432983398E-2
8.478460316E1,-7.126235962E-2
8.482302316E1,-7.654571533E-2
8.486144336E1,1.194982529E-1
8.489986347E1,1.137609482E-1
8.493828347E1,-1.003961563E-1
8.497670357E1,-7.134914398E-2
8.501512368E1,-1.968955994E-2
8.505354378E1,2.851200104E-2
8.509196389E1,5.117321014E-2
8.513038399E1,5.781173706E-2
8.516880399E1,-1.080989838E-2
8.520722409E1,-4.918098450E-2
8.524564420E1,-6.376361847E-2
8.528406430E1,1.642799377E-2
8.532248430E1,2.314567566E-2
8.536090441E1,4.392337799E-2
8.539932441E1,-3.213882446E-4
8.543774451E1,-3.641128540E-3
8.547616462E1,-3.393173218E-3
8.551458462E1,-3.219699860E-2
8.555300472E1,-4.232788086E-2
8.559142472E1,-2.944755554E-2
8.562984482E1,1.042757034E-1
8.566826482E1,-1.881217957E-2
8.570668482E1,-2.090167999E-2
8.574510493E1,-4.071331024E-2
8.578352493E1,8.036613464E-2
8.582194503E1,-2.102470398E-2
8.586036503E1,-2.297019958E-2
8.589878503E1,-1.138401031E-2
8.593720503E1,5.861186981E-2
8.597562514E1,-4.020404816E-2
8.601404514E1,9.377479553E-3
8.605246514E1,1.880550385E-2
8.609088514E1,7.507324219E-3
8.612930514E1,-2.314186096E-2
8.616772514E1,-5.961418152E-3
8.620614514E1,6.479263306E-2
8.624456514E1,-3.779029846E-2
8.628298514E1,1.163578033E-2
8.632140514E1,-1.035308838E-2
8.635982514E1,1.937007904E-2
8.639824514E1,-2.545642853E-2
8.643666514E1,3.319835663E-2
8.647508514E1,-1.815319061E-2
8.651350514E1,-3.540039062E-3
8.655192514E1,-5.526542664E-3
8.659034514E1,-1.743888855E-2
8.662876514E1,-3.414440155E-2
8.666718503E1,-1.064014435E-2
8.670560503E1,3.251171112E-2
8.674402503E1,3.816223145E-2
8.678244503E1,-6.809234619E-3
8.682086493E1,-4.766082764E-2
8.685928493E1,1.304626465E-3
8.689770493E1,-2.129554749E-3
8.693612482E1,4.268074036E-2
8.697454482E1,1.080799103E-2
8.701296472E1,-2.452468872E-2
8.705138472E1,2.066230774E-2
8.708980462E1,2.486705780E-2
8.712822462E1,-4.602146149E-2
8.716664451E1,-3.178310394E-2
8.720506451E1,7.865142822E-2
8.724348441E1,8.637428284E-3
8.728190441E1,-4.330348969E-2
8.732032430E1,-3.482723236E-2
8.735874420E1,3.784465790E-2
8.739716420E1,1.824378967E-3
8.743558409E1,-4.407787323E-2
8.747400399E1,-2.052307129E-3
8.751242399E1,3.270912170E-2
8.755084389E1,3.499984741E-2
8.758926378E1,-5.554866791E-2
8.762768368E1,-3.843879700E-2
8.766610357E1,1.773643494E-2
8.770452357E1,7.684516907E-2
8.774294347E1,-5.334758759E-2
8.778136336E1,-3.526401520E-2
8.781978326E1,7.292747498E-3
8.785820316E1,4.366111755E-2
8.789662305E1,-2.847766876E-2
8.793504295E1,1.920223236E-2
8.797346284E1,4.472923279E-2
8.801188274E1,3.505802155E-2
8.805030264E1,-3.650951385E-2
8.808872253E1,-6.868648529E-2
8.812714243E1,9.604454041E-3
8.816556232E1,4.135608673E-2
8.820398212E1,1.068401337E-2
8.824240201E1,-6.372451782E-2
8.828082191E1,-1.144409180E-2
8.831924180E1,5.296897888E-2
8.835766170E1,2.710437775E-2
8.839608159E1,-5.620956421E-2
8.843450139E1,-6.696605682E-2
8.847292128E1,5.138874054E-2
8.851134118E1,5.465602875E-2
8.854976107E1,-3.943347931E-2
8.858818097E1,-6.359481812E-2
8.862660076E1,4.449748993E-2
8.866502066E1,-3.662967682E-2
8.870344055E1,-5.875205994E-2
8.874186045E1,1.104736328E-2
8.878028024E1,8.624839783E-2
8.881870014E1,-2.446269989E-2
8.885712003E1,-4.069614410E-2
8.889553993E1,-2.458190918E-2
8.893395972E1,-6.192207336E-3
8.897237962E1,-2.021789551E-4
8.901079951E1,-2.476024628E-2
8.904921941E1,-1.306438446E-2
8.908763930E1,1.460838318E-2
8.912605909E1,5.047893524E-2
8.916447899E1,-5.115413666E-2
8.920289889E1,1.389503479E-3
8.924131878E1,3.926563263E-2
8.927973857E1,2.659416199E-2
8.931815847E1,-2.543067932E-2
8.935657836E1,-3.712749481E-2
8.939499826E1,-3.380775452E-3
8.943341816E1,2.252769470E-2
8.947183795E1,2.549648285E-2
8.951025784E1,-4.208660126E-2
8.954867774E1,1.990509033E-2
8.958709764E1,-1.379871368E-2
8.962551753E1,-1.287746429E-2
8.966393732E1,-9.130382538E-2
8.970235722E1,3.985118866E-2
8.974077712E1,5.841350555E-2
8.977919701E1,1.208972931E-2
8.981761691E1,-8.474159241E-2
8.985603670E1,-8.734703064E-3
8.989445659E1,6.108760834E-2
8.993287649E1,4.250431061E-2
8.997129639E1,-7.757186890E-2
9.000971628E1,-4.558849335E-2
9.004813618E1,2.780914307E-2
9.008655597E1,-2.093791962E-2
9.012497587E1,-5.750560760E-2
9.016339576E1,-2.461624146E-2
9.020181566E1,1.607894897E-3
9.024023566E1,-5.098915100E-2
9.027865555E1,-5.652141571E-2
9.031707545E1,-3.710842133E-2
9.035549545E1,-3.798198700E-2
9.039391534E1,-4.773521423E-2
9.043233534E1,-3.561306000E-2
9.047075534E1,-3.080368042E-3
9.050917534E1,-9.778594971E-2
9.054759534E1,-1.868438721E-2
9.058601534E1,-9.113025665E-2
9.062443534E1,-8.839893341E-2
9.066285545E1,-1.215171814E-2
9.070127545E1,3.556537628E-2
